key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,4,FF,,1,1.5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-112,52,1,0,0,response7disk,5,14,-19,-9,1,0,0,rectangle,-19,-9,1,0,0,1,1,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-19,-9,1,0,0,0,13,13,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,0,1.1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-68,120,1,0,0,response7disk,6,15,-29,-1,1,0,0,rectangle,115,46,1,0,0,6,6,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",8,0,1,0,0,0,14,14,21,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,68,140,1,0,0,response1disk,1,16,1,-7,1,0,0,rectangle,1,-7,1,0,0,6,7,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",1,-7,1,0,0,0,15,15,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,0,1.4984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-73,122,1,0,0,response7disk,4,17,2,7,1,0,0,rectangle,2,7,1,0,0,6,1,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",2,7,1,0,0,0,16,16,23,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,5,1.7987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,119,-73,1,0,0,response3disk,5,18,-2,-6,1,0,0,rectangle,-2,-6,1,0,0,6,3,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-2,-6,1,0,0,0,17,17,47,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,1.0984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-69,110,1,0,0,response7disk,1,19,-20,-2,1,0,0,rectangle,-20,-2,1,0,0,6,5,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-20,-2,1,0,0,0,18,18,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,7,0.7687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,41,141,1,0,0,response1disk,4,20,-2,0,1,0,0,rectangle,-123,63,1,0,0,1,1,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-34,2,1,0,0,0,19,19,37,1,response7disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,1.2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-121,50,1,0,0,response7disk,5,21,-43,2,1,0,0,rectangle,-43,2,1,0,0,1,0,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-43,2,1,0,0,0,20,20,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,0,1.1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-62,118,1,0,0,response7disk,4,22,13,2,1,0,0,rectangle,13,2,1,0,0,1,0,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",13,2,1,0,0,0,21,21,26,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,5,1.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,110,-45,1,0,0,response3disk,7,23,18,-10,1,0,0,rectangle,18,-10,1,0,0,1,4,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",18,-10,1,0,0,0,22,22,29,1,,,,,,,,,,,,,,,,,,,,,,,
